time,QA:1,force:1,pA:1,pos:1,u:1
0.540797931,0.000102342,10582.30296,3807978.552,0.018634755,10
0.547331273,0.000101542,11221.04254,4036537.157,0.01883645,10
0.55,0.000101211,11483.48347,4130910.423,0.018918166,10
0.55,0.000101211,11483.48347,4130910.423,0.018918166,10
0.55,0.000101211,11483.48347,4130910.423,0.018918166,10
0.551722991,0.000101003,11646.60342,4189794.346,0.01897099,10
0.555168972,0.000100604,11958.67283,4302721.373,0.019077115,10
0.558614954,0.000100244,12236.80993,4403937.42,0.019184513,10
0.564553344,9.97597E-05,12606.47742,4539915.503,0.019374399,10
0.570491735,9.94811E-05,12812.10415,4617777.994,0.019572094,10
0.576430125,9.94314E-05,12839.06006,4631654.597,0.019778923,10
0.582368515,9.96042E-05,12694.39344,4583425.033,0.019995082,10
0.588306906,9.99663E-05,12404.52165,4482040.596,0.020219678,10
0.594245296,0.000100464,12010.8872,4342073.925,0.020450894,10
0.6,0.000101013,11578.87925,4186978.637,0.020678908,10
0.6,0.000101013,11578.87925,4186978.637,0.020678908,10
0.6,0.000101013,11578.87925,4186978.637,0.020678908,10
0.600260287,0.000100659,11558.08641,4179481.963,0.020689285,9.947942607
0.600780861,9.97427E-05,11514.85836,4163889.607,0.020710044,9.84382782
0.601301435,9.87121E-05,11468.17123,4147036.016,0.02073081,9.739713033
0.601822009,9.77366E-05,11417.96963,4128900.481,0.020751581,9.635598246
0.60252461,9.63952E-05,11344.8259,4102456.322,0.020779619,9.49507796
0.603500048,9.45556E-05,11233.24072,4062075.183,0.02081854,9.299990369
0.605019533,9.16941E-05,11037.1991,3991040.775,0.02087911,8.996093439
0.607660721,8.67553E-05,10637.1661,3845834.064,0.02098397,8.467855747
0.612345087,7.80002E-05,9773.665759,3531646.522,0.021166997,7.530982652
0.617029452,6.91593E-05,8764.12789,3163629.881,0.021343424,6.594109557
0.621713818,6.01231E-05,7678.24822,2767422.54,0.021509218,5.657236462
0.626398183,5.08335E-05,6588.576479,2369806.866,0.02166004,4.720363367
0.631082549,4.12538E-05,5566.746623,1997149.761,0.021791534,3.783490272
0.635766914,3.13967E-05,4679.708781,1673857.617,0.021899613,2.846617177
0.64045128,2.12925E-05,3986.083571,1420938.714,0.021980731,1.909744082
0.645135645,1.10094E-05,3532.687237,1254726.105,0.022032114,0.972870987
0.649820011,6.21492E-07,3351.461803,1185858.176,0.022051952,0.035997892
0.65,2.2047E-07,3349.993723,1185163.3,0.022052083,1.42109E-12
0.65,2.21503E-07,3349.993723,1185163.3,0.022052083,0
0.65,2.21503E-07,3349.993723,1185163.3,0.022052083,0
0.650353573,4.8835E-08,3351.041988,1185192.063,0.022052085,0
0.65047144,1.37484E-14,3351.614911,1185280.69,0.022052073,0
0.65047144,-6.62305E-19,3351.614911,1185280.69,0.022052073,0
0.650821097,-1.47392E-19,3357.163975,1186904.682,0.022051833,0
0.650939179,-8.73218E-23,3359.268372,1187534.395,0.02205174,0
0.650939179,-8.73218E-23,3359.268372,1187534.395,0.02205174,0
0.651406917,2.8781E-31,3374.440585,1192444.278,0.022051012,0
0.651520207,1.81385E-23,3378.329565,1193708.639,0.022050825,0
0.651520207,1.81385E-23,3378.329565,1193708.639,0.022050825,0
0.652101236,-5.9885E-43,3408.553355,1203821.801,0.022049327,0
0.652211843,-3.0648E-24,3414.512167,1205818.463,0.022049031,0
0.652211843,-3.0648E-24,3414.512167,1205818.463,0.022049031,0
0.652903479,-3.19918E-51,3466.050461,1223339.386,0.022046435,0
0.652904207,3.22253E-27,3466.104724,1223357.823,0.022046432,0
0.652904207,3.22253E-27,3466.104724,1223357.823,0.022046432,0
0.65359657,-1.77422E-63,3531.055162,1245595.427,0.022043138,0
0.653705426,-4.59486E-28,3541.465677,1249159.689,0.02204261,0
0.653705426,-4.59486E-28,3541.465677,1249159.689,0.02204261,0
0.654506644,-2.0881E-59,3636.705444,1281946.868,0.022037752,0
0.65461427,5.68026E-29,3649.69283,1286416.479,0.02203709,0
0.65461427,5.68026E-29,3649.69283,1286416.479,0.02203709,0
0.655523114,-1.4145E-86,3782.735147,1332378.45,0.022030281,0
0.655629819,-6.20387E-30,3798.545162,1337837.538,0.022029472,0
0.655629819,-6.20387E-30,3798.545162,1337837.538,0.022029472,0
0.656560374,0,3960.347511,1393849.989,0.022021173,0
0.65666692,6.61996E-31,3979.060098,1400324.152,0.022020214,0
0.65666692,6.61996E-31,3979.060098,1400324.152,0.022020214,0
0.657610722,-2.1764E-110,4168.755533,1466073.503,0.022010473,0
0.657717175,-6.96618E-32,4190.334192,1473548.245,0.022009366,0
0.657717175,-6.96618E-32,4190.334192,1473548.245,0.022009366,0
0.65867687,7.5085E-121,4408.8066,1549327.816,0.021998139,0
0.658783214,7.21076E-33,4433.193291,1557781.382,0.021996887,0
0.658783214,7.21076E-33,4433.193291,1557781.382,0.021996887,0
0.659761893,-2.3086E-132,4681.544363,1643961.75,0.021984119,0
0.659868112,-7.32104E-34,4708.670384,1653368.921,0.021982725,0
0.659868112,-7.32104E-34,4708.670384,1653368.921,0.021982725,0
0.66086963,0,4988.335822,1750438.646,0.021968344,0
0.660975705,7.2656E-35,5018.120941,1760770.483,0.021966813,0
0.660975705,7.2656E-35,5018.120941,1760770.483,0.021966813,0
0.662004733,-1.0648E-154,5330.929468,1869357.101,0.021950726,0
0.662110643,-7.02009E-36,5363.280744,1880580.581,0.021949063,0
0.662110643,-7.02009E-36,5363.280744,1880580.581,0.021949063,0
0.662110643,-7.02009E-36,5363.280744,1880580.581,0.021949063,0
0.66316037,1.3E-53,5707.206288,1999975.779,0.021931374,0
0.665259823,4.07858E-47,6437.416446,2253337.921,0.021893838,0
0.665259823,-1.36942E-52,6437.416446,2253337.921,0.021893838,0
0.666274973,0,6827.383164,2388732.602,0.021873779,0
0.668305272,0,7638.187696,2670158.019,0.021832085,0
0.669870853,0,8301.713613,2900563.301,0.02179795,0
0.672503639,0,9472.546196,3307477.51,0.021737665,0
0.676068689,0,11120.57098,3881430.387,0.021652633,0
0.679633739,0,12773.10229,4459155.657,0.021567042,0
0.683198789,0,14353.07464,5014695.136,0.021484738,0
0.686763839,0,15787.55016,5523229.318,0.021409398,0
0.690328889,0,17011.49638,5962221.111,0.021344361,0
0.693893939,0,17970.98158,6312436.128,0.021292477,0
0.697458988,0,18625.58933,6558789.527,0.021255979,0
0.7,0,18891.24137,6664999.482,0.021240244,0
0.7,0,18891.24137,6664999.482,0.021240244,0
0.7,0,18891.24137,6664999.482,0.021240244,0
0.700853552,0,18932.34579,6683892.518,0.021237445,0
0.702560656,0,18975.13364,6707841.692,0.021233897,0
0.704267759,0,18939.53821,6704112.334,0.021234448,0
0.706917132,0,18731.91603,6644038.258,0.021243347,0
0.71040883,0,18188.02924,6467510.556,0.0212695,0
0.713900528,0,17361.94302,6187960.986,0.021310915,0
0.717392227,0,16291.46101,5817834.619,0.02136575,0
0.720883925,0,15023.33326,5373270.43,0.021431613,0
0.724375624,0,13611.20987,4873394.608,0.02150567,0
0.727867322,0,12113.53136,4339511.222,0.021584766,0
0.731359021,0,10591.40259,3794219.758,0.021665551,0
0.734850719,0,9106.477248,3260491.783,0.021744624,0
0.738342418,0,7718.862718,2760738.93,0.021818664,0
0.741834116,0,6485.04991,2315904.134,0.021884567,0
0.745325814,0,5455.879363,1944607.691,0.021939575,0
0.748817513,0,4674.572783,1662379.109,0.021981388,0
0.75,0,4471.308146,1588788.477,0.021992291,0
0.75,0,4471.308146,1588788.477,0.021992291,0
0.75,0,4471.308146,1588788.477,0.021992291,0
0.750890554,0,4350.647829,1544927.029,0.021998789,0
0.752671662,0,4148.698253,1471307.862,0.022009696,0
0.75445277,0,4026.877465,1426217.41,0.022016376,0
0.757149979,0,3998.196824,1413201.636,0.022018304,0
0.760679126,0,4244.240923,1496275.649,0.022005997,0
0.764208272,0,4802.540268,1688961.115,0.02197745,0
0.767737419,0,5649.981174,1982642.128,0.02193394,0
0.771266566,0,6749.848401,2364247.079,0.021877404,0
0.774795713,0,8053.254366,2816819.113,0.021810355,0
0.77832486,0,9501.323887,3320271.545,0.021735767,0
0.781854007,0,11028.04088,3852295.729,0.021656947,0
0.785383154,0,12563.58785,4389377.79,0.021577377,0
0.788912301,0,14037.9514,4907872.939,0.021500562,0
0.792441448,0,15384.53485,5385082.059,0.021429863,0
0.795970595,0,16543.51802,5800275.295,0.021368352,0
0.799499742,0,17464.73442,6135611.275,0.021318672,0
0.8,0,17574.97611,6176275.888,0.021312647,0
0.8,0,17574.97611,6176275.888,0.021312647,0
